gene_symbol	hgnc_id	mgi_id	disorder_id	disorder_name	IMPC_pipeline	IMPC_phenotypes	HPO_phenotypes	PhenoDigm_match	max_score
ABCB4	HGNC:45	MGI:97569	OMIM:614972|OMIM:602347|OMIM:600803|ORPHA:69663|ORPHA:69665|ORPHA:79305	Cholestasis, Intrahepatic, Of Pregnancy 3|Cholestasis, Progressive Familial Intrahepatic, 3|Gallbladder Disease 1|Low Phospholipid-Associated Cholelithiasis|Intrahepatic Cholestasis Of Pregnancy|Progressive Familial Intrahepatic Cholestasis Type 3	yes	yes	yes	yes	51.59
ABCB5	HGNC:46	MGI:1924956	-	-	yes	no	no	no	NA
ABCB6	HGNC:47	MGI:1921354	OMIM:615402|OMIM:614497|OMIM:609153|OMIM:111600|ORPHA:241|ORPHA:90044|ORPHA:98942|ORPHA:98938|ORPHA:98947|ORPHA:98945|ORPHA:98946|ORPHA:98943|ORPHA:98944	Dyschromatosis Universalis Hereditaria 3|Microphthalmia, Isolated, With Coloboma 7|Pseudohyperkalemia, Familial, 2, Due To Red Cell Leak|Blood Group, Langereis System|Dyschromatosis Universalis Hereditaria|Familial Pseudohyperkalemia|Coloboma Of Choroid And Retina|Colobomatous Microphthalmia|Coloboma Of Optic Disc|Coloboma Of Macula|Coloboma Of Eyelid|Coloboma Of Eye Lens|Coloboma Of Iris	yes	yes	yes	no	NA
ABCB7	HGNC:48	MGI:109533	OMIM:301310|ORPHA:2802	Anemia, Sideroblastic, And Spinocerebellar Ataxia|X-Linked Sideroblastic Anemia And Spinocerebellar Ataxia	no	no	no	no	NA
ABCB8	HGNC:49	MGI:1351667	-	-	no	no	no	no	NA
ABCB9	HGNC:50	MGI:1861729	-	-	yes	no	no	no	NA
ABCC1	HGNC:51	MGI:102676	OMIM:618915|ORPHA:90635	Deafness, Autosomal Dominant 77|Rare Autosomal Dominant Non-Syndromic Sensorineural Deafness Type Dfna	no	no	no	no	NA
ABCC10	HGNC:52	MGI:2386976	-	-	yes	no	no	no	NA
ABCC12	HGNC:14640	MGI:2441679	-	-	yes	no	no	no	NA
ABCC2	HGNC:53	MGI:1352447	OMIM:237500|ORPHA:234	Dubin-Johnson Syndrome	yes	yes	yes	yes	64.07
ABCC3	HGNC:54	MGI:1923658	-	-	no	no	no	no	NA
ABCC4	HGNC:55	MGI:2443111	-	-	no	no	no	no	NA
ABCC5	HGNC:56	MGI:1351644	-	-	yes	no	no	no	NA
ABCC6	HGNC:57	MGI:1351634	OMIM:614473|OMIM:264800|OMIM:177850|ORPHA:758|ORPHA:51608	Arterial Calcification, Generalized, Of Infancy, 2|Pseudoxanthoma Elasticum|Pseudoxanthoma Elasticum, Forme Fruste|Generalized Arterial Calcification Of Infancy	no	no	no	no	NA
ABCC8	HGNC:59	MGI:1352629	OMIM:125853|OMIM:618857|OMIM:610374|OMIM:256450|OMIM:240800|ORPHA:276575|ORPHA:276598|ORPHA:552|ORPHA:79134|ORPHA:79643|ORPHA:99885|ORPHA:99886	Type 2 Diabetes Mellitus|Diabetes Mellitus, Permanent Neonatal, 3|Diabetes Mellitus, Transient Neonatal, 2|Hyperinsulinemic Hypoglycemia, Familial, 1|Hypoglycemia, Leucine-Induced|Autosomal Dominant Hyperinsulinism Due To Sur1 Deficiency|Diazoxide-Resistant Focal Hyperinsulinism Due To Sur1 Deficiency|Mody|Dend Syndrome|Autosomal Recessive Hyperinsulinism Due To Sur1 Deficiency|Isolated Permanent Neonatal Diabetes Mellitus|Transient Neonatal Diabetes Mellitus	yes	yes	yes	yes	80.335
ABCC9	HGNC:60	MGI:1352630	OMIM:614050|OMIM:608569|OMIM:239850|OMIM:619719|ORPHA:154|ORPHA:1517|ORPHA:130|ORPHA:334	Atrial Fibrillation, Familial, 12|Cardiomyopathy, Dilated, 1O|Cantu Syndrome|Intellectual Disability And Myopathy Syndrome|Familial Isolated Dilated Cardiomyopathy|Cantú Syndrome|Brugada Syndrome|Familial Atrial Fibrillation	yes	yes	yes	yes	45.525
ABCD1	HGNC:61	MGI:1349215	OMIM:300100|ORPHA:388|ORPHA:139396|ORPHA:139399|ORPHA:369942	Adrenoleukodystrophy|Hirschsprung Disease|X-Linked Cerebral Adrenoleukodystrophy|Adrenomyeloneuropathy|Cadds	yes	yes	yes	yes	45.055
ABCD2	HGNC:66	MGI:1349467	-	-	no	no	no	no	NA
ABCD3	HGNC:67	MGI:1349216	OMIM:616278	Bile Acid Synthesis Defect, Congenital, 5	yes	yes	yes	yes	34.085
ABCD4	HGNC:68	MGI:1349217	OMIM:614857|ORPHA:369955	Methylmalonic Aciduria And Homocystinuria, Cblj Type|Methylmalonic Acidemia With Homocystinuria, Type Cblj	yes	yes	yes	no	NA
ABCE1	HGNC:69	MGI:1195458	-	-	yes	no	no	no	NA
ABCF1	HGNC:70	MGI:1351658	-	-	no	no	no	no	NA
ABCF2	HGNC:71	MGI:1351657	-	-	no	no	no	no	NA
ABCF3	HGNC:72	MGI:1351656	-	-	no	no	no	no	NA
ABCG1	HGNC:73	MGI:107704	-	-	no	no	no	no	NA
ABCG2	HGNC:74	MGI:1347061	OMIM:614490|OMIM:138900	Blood Group, Junior System|Uric Acid Concentration, Serum, Quantitative Trait Locus 1	yes	yes	no	no	NA
ABCG4	HGNC:13884	MGI:1890594	-	-	no	no	no	no	NA
ABCG5	HGNC:13886	MGI:1351659	OMIM:618666|ORPHA:2882|ORPHA:391665	Sitosterolemia 2|Sitosterolemia|Homozygous Familial Hypercholesterolemia	no	no	no	no	NA
ABCG8	HGNC:13887	MGI:1914720	OMIM:210250|OMIM:611465|ORPHA:2882|ORPHA:391665	Sitosterolemia 1|Gallbladder Disease 4|Sitosterolemia|Homozygous Familial Hypercholesterolemia	yes	yes	yes	yes	68.46
ABHD10	HGNC:25656	MGI:2442422	-	-	yes	no	no	no	NA
ABHD11	HGNC:16407	MGI:1916008	-	-	yes	no	no	no	NA
ABHD12	HGNC:15868	MGI:1923442	OMIM:612674|ORPHA:171848	Polyneuropathy, Hearing Loss, Ataxia, Retinitis Pigmentosa, And Cataract|Polyneuropathy-Hearing Loss-Ataxia-Retinitis Pigmentosa-Cataract Syndrome	no	no	no	no	NA
ABHD12B	HGNC:19837	MGI:2685650	-	-	yes	no	no	no	NA
ABHD13	HGNC:20293	MGI:1916154	-	-	yes	no	no	no	NA
ABHD14A	HGNC:24538	MGI:1915894	-	-	yes	no	no	no	NA
ABHD14B	HGNC:28235	MGI:1923741	-	-	yes	no	no	no	NA
ABHD15	HGNC:26971	MGI:1914727	-	-	yes	no	no	no	NA
ABHD16A	HGNC:13921	MGI:99476	OMIM:619735|ORPHA:631085	Spastic Paraplegia 86, Autosomal Recessive|Autosomal Recessive Spastic Paraplegia Type 86	yes	yes	yes	no	NA
ABHD16B	HGNC:16128	MGI:3607711	-	-	no	no	no	no	NA
ABHD17A	HGNC:28756	MGI:106388	-	-	yes	no	no	no	NA
ABHD17B	HGNC:24278	MGI:1917816	-	-	yes	no	no	no	NA
ABHD17C	HGNC:26925	MGI:1917428	-	-	yes	no	no	no	NA
ABHD18	HGNC:26111	MGI:1915468	-	-	no	no	no	no	NA
ABHD2	HGNC:18717	MGI:1914344	-	-	no	no	no	no	NA
ABHD3	HGNC:18718	MGI:2147183	-	-	yes	no	no	no	NA
ABHD4	HGNC:20154	MGI:1915938	-	-	yes	no	no	no	NA
ABHD5	HGNC:21396	MGI:1914719	OMIM:275630|ORPHA:98907	Chanarin-Dorfman Syndrome|Neutral Lipid Storage Disease With Ichthyosis	yes	yes	yes	yes	21.93
ABHD6	HGNC:21398	MGI:1913332	-	-	yes	no	no	no	NA
ABHD8	HGNC:23759	MGI:1918946	-	-	yes	no	no	no	NA
ABI1	HGNC:11320	MGI:104913	-	-	no	no	no	no	NA
ABI2	HGNC:24011	MGI:106913	-	-	yes	no	no	no	NA
ABI3	HGNC:29859	MGI:1913860	-	-	yes	no	no	no	NA
ABI3BP	HGNC:17265	MGI:2444583	-	-	yes	no	no	no	NA
ABITRAM	HGNC:1364	MGI:2677850	-	-	yes	no	no	no	NA
ABL1	HGNC:76	MGI:87859	OMIM:617602|OMIM:608232|ORPHA:521|ORPHA:585909|ORPHA:643503|ORPHA:99861	Congenital Heart Defects And Skeletal Malformations Syndrome|Leukemia, Chronic Myeloid|Chronic Myeloid Leukemia|B-Lymphoblastic Leukemia/Lymphoma With T(9;22)(Q34.1;Q11.2)|Marfanoid Habitus-Facial Dysmorphism-Skeletal Abnormality-Heart Defect Syndrome|Precursor T-Cell Acute Lymphoblastic Leukemia	no	no	no	no	NA
ABL2	HGNC:77	MGI:87860	-	-	no	no	no	no	NA
ABLIM1	HGNC:78	MGI:1194500	-	-	yes	no	no	no	NA
ABLIM2	HGNC:19195	MGI:2385758	-	-	yes	no	no	no	NA
ABLIM3	HGNC:29132	MGI:2442582	-	-	yes	no	no	no	NA
ABO	HGNC:79	MGI:2135738	OMIM:616093	Blood Group, Abo System	yes	yes	no	no	NA
ABR	HGNC:81	MGI:107771	-	-	no	no	no	no	NA
ABRA	HGNC:30655	MGI:2444891	-	-	no	no	no	no	NA
ABRACL	HGNC:21230	MGI:1920362	-	-	no	no	no	no	NA
ABRAXAS1	HGNC:25829	MGI:1917931	-	-	no	no	no	no	NA
ABRAXAS2	HGNC:28975	MGI:1926116	-	-	yes	no	no	no	NA
ABT1	HGNC:17369	MGI:1353636	-	-	no	no	no	no	NA
ABTB1	HGNC:18275	MGI:1933148	-	-	yes	no	no	no	NA
ABTB2	HGNC:23842	MGI:2139365	-	-	yes	no	no	no	NA
ABTB3	HGNC:23844	MGI:1921257	-	-	yes	no	no	no	NA
ACAA2	HGNC:83	MGI:1098623	-	-	no	no	no	no	NA
ACACA	HGNC:84	MGI:108451	OMIM:613933	Acetyl-Coa Carboxylase Deficiency	no	no	no	no	NA
ACACB	HGNC:85	MGI:2140940	-	-	no	no	no	no	NA
ACAD10	HGNC:21597	MGI:1919235	-	-	yes	no	no	no	NA
ACAD11	HGNC:30211	MGI:2143169	-	-	yes	no	no	no	NA
ACAD8	HGNC:87	MGI:1914198	OMIM:611283|ORPHA:79159	Isobutyryl-Coa Dehydrogenase Deficiency	no	no	no	no	NA
ACAD9	HGNC:21497	MGI:1914272	OMIM:611126|ORPHA:99901	Mitochondrial Complex I Deficiency, Nuclear Type 20|Acyl-Coa Dehydrogenase 9 Deficiency	no	no	no	no	NA
ACADL	HGNC:88	MGI:87866	-	-	no	no	no	no	NA
ACADM	HGNC:89	MGI:87867	OMIM:201450|ORPHA:42	Acyl-Coa Dehydrogenase, Medium-Chain, Deficiency Of|Medium Chain Acyl-Coa Dehydrogenase Deficiency	yes	yes	yes	no	NA
ACADS	HGNC:90	MGI:87868	OMIM:201470|ORPHA:26792	Acyl-Coa Dehydrogenase, Short-Chain, Deficiency Of|Short Chain Acyl-Coa Dehydrogenase Deficiency	no	no	no	no	NA
ACADSB	HGNC:91	MGI:1914135	OMIM:610006|ORPHA:79157	2-Methylbutyryl-Coa Dehydrogenase Deficiency	yes	yes	yes	no	NA
ACADVL	HGNC:92	MGI:895149	OMIM:201475|ORPHA:26793	Acyl-Coa Dehydrogenase, Very Long-Chain, Deficiency Of|Very Long Chain Acyl-Coa Dehydrogenase Deficiency	yes	yes	yes	yes	36.785
ACAN	HGNC:319	MGI:99602	OMIM:608361|OMIM:165800|OMIM:612813|ORPHA:171866|ORPHA:251262|ORPHA:435804|ORPHA:93283	Spondyloepiphyseal Dysplasia, Kimberley Type|Short Stature And Advanced Bone Age, With Or Without Early-Onset Osteoarthritis And/Or Osteochondritis Dissecans|Spondyloepimetaphyseal Dysplasia, Aggrecan Type|Familial Osteochondritis Dissecans|Short Stature-Advanced Bone Age-Early-Onset Osteoarthritis Syndrome	yes	yes	yes	no	NA
ACAP1	HGNC:16467	MGI:2388270	-	-	yes	no	no	no	NA
ACAP2	HGNC:16469	MGI:1925868	-	-	yes	no	no	no	NA
ACAP3	HGNC:16754	MGI:2153589	-	-	yes	no	no	no	NA
ACAT1	HGNC:93	MGI:87870	OMIM:203750|ORPHA:134	Alpha-Methylacetoacetic Aciduria|Beta-Ketothiolase Deficiency	yes	yes	yes	yes	26.24
ACBD3	HGNC:15453	MGI:2181074	-	-	yes	no	no	no	NA
ACBD4	HGNC:23337	MGI:1914381	-	-	no	no	no	no	NA
ACBD5	HGNC:23338	MGI:1921409	OMIM:618863	Retinal Dystrophy With Leukodystrophy	yes	yes	yes	yes	37.78
ACBD6	HGNC:23339	MGI:1919732	-	-	no	no	no	no	NA
ACBD7	HGNC:17715	MGI:1925495	-	-	no	no	no	no	NA
ACCS	HGNC:23989	MGI:1919717	-	-	no	no	no	no	NA
ACCSL	HGNC:34391	MGI:3584519	-	-	yes	no	no	no	NA
ACD	HGNC:25070	MGI:87873	OMIM:616553|ORPHA:3322|ORPHA:618|ORPHA:397692	Dyskeratosis Congenita, Autosomal Dominant 6|Hoyeraal-Hreidarsson Syndrome|Familial Melanoma|Hereditary Isolated Aplastic Anemia	no	no	no	no	NA
ACE	HGNC:2707	MGI:87874	OMIM:267430|OMIM:614519|OMIM:612624|ORPHA:34145|ORPHA:97369	Renal Tubular Dysgenesis|Hemorrhage, Intracerebral, Susceptibility To|Microvascular Complications Of Diabetes, Susceptibility To, 3|Non Rare In Europe: Berger Disease|Renal Tubular Dysgenesis Of Genetic Origin	yes	yes	yes	no	NA
ACE2	HGNC:13557	MGI:1917258	-	-	yes	no	no	no	NA
ACER1	HGNC:18356	MGI:2181962	-	-	yes	no	no	no	NA
ACER2	HGNC:23675	MGI:1920932	-	-	no	no	no	no	NA
ACER3	HGNC:16066	MGI:1913440	OMIM:617762|ORPHA:502444	Leukodystrophy, Progressive, Early Childhood-Onset|Alkaline Ceramidase 3 Deficiency	no	no	no	no	NA
ACHE	HGNC:108	MGI:87876	OMIM:112100	Yt Blood Group Antigen	yes	yes	no	no	NA
ACIN1	HGNC:17066	MGI:1891824	-	-	no	no	no	no	NA
ACKR1	HGNC:4035	MGI:1097689	OMIM:110700|OMIM:611862|OMIM:611162	Blood Group, Duffy System|White Blood Cell Count Quantitative Trait Locus 1|Malaria, Susceptibility To	no	no	no	no	NA
ACKR2	HGNC:1565	MGI:1891697	-	-	no	no	no	no	NA
ACKR3	HGNC:23692	MGI:109562	OMIM:619215	Oculomotor-Abducens Synkinesis	yes	yes	yes	no	NA
ACKR4	HGNC:1611	MGI:2181676	-	-	no	no	no	no	NA
ACLY	HGNC:115	MGI:103251	-	-	no	no	no	no	NA
ACMSD	HGNC:19288	MGI:2386323	-	-	yes	no	no	no	NA
ACO1	HGNC:117	MGI:87879	-	-	yes	no	no	no	NA
ACO2	HGNC:118	MGI:87880	OMIM:614559|OMIM:616289|ORPHA:313850|ORPHA:98676	Infantile Cerebellar-Retinal Degeneration|Optic Atrophy 9|Autosomal Recessive Isolated Optic Atrophy	yes	yes	yes	yes	37.055
ACOD1	HGNC:33904	MGI:103206	-	-	yes	no	no	no	NA
ACOT11	HGNC:18156	MGI:1913736	-	-	no	no	no	no	NA
ACOT12	HGNC:24436	MGI:1921406	-	-	yes	no	no	no	NA
ACOT13	HGNC:20999	MGI:1914084	-	-	no	no	no	no	NA
ACOT4	HGNC:19748	MGI:2159621	-	-	yes	no	no	no	NA
ACOT6	HGNC:33159	MGI:1921287	-	-	yes	no	no	no	NA
ACOT7	HGNC:24157	MGI:1917275	-	-	no	no	no	no	NA
ACOT8	HGNC:15919	MGI:2158201	-	-	yes	no	no	no	NA
ACOX1	HGNC:119	MGI:1330812	OMIM:618960|OMIM:264470|ORPHA:2971|ORPHA:631248	Mitchell Syndrome|Peroxisomal Acyl-Coa Oxidase Deficiency	no	no	no	no	NA
ACOX2	HGNC:120	MGI:1934852	OMIM:617308	Bile Acid Synthesis Defect, Congenital, 6	no	no	no	no	NA
ACOX3	HGNC:121	MGI:1933156	-	-	yes	no	no	no	NA
ACOXL	HGNC:25621	MGI:1921371	-	-	yes	no	no	no	NA
ACP1	HGNC:122	MGI:87881	-	-	no	no	no	no	NA
ACP2	HGNC:123	MGI:87882	OMIM:200950	Acid Phosphatase Deficiency	yes	yes	no	no	NA
ACP3	HGNC:125	MGI:1928480	-	-	no	no	no	no	NA
ACP4	HGNC:14376	MGI:3644563	OMIM:617297|ORPHA:100031	Amelogenesis Imperfecta, Type Ij|Hypoplastic Amelogenesis Imperfecta	no	no	no	no	NA
ACP5	HGNC:124	MGI:87883	OMIM:607944|ORPHA:1855	Spondyloenchondrodysplasia With Immune Dysregulation|Spondyloenchondrodysplasia	no	no	no	no	NA
ACP6	HGNC:29609	MGI:1931010	-	-	yes	no	no	no	NA
ACP7	HGNC:33781	MGI:2142121	-	-	no	no	no	no	NA
ACR	HGNC:126	MGI:87884	OMIM:620500	Spermatogenic Failure 87	no	no	no	no	NA
ACRBP	HGNC:17195	MGI:1859515	-	-	no	no	no	no	NA
ACRV1	HGNC:127	MGI:104590	-	-	no	no	no	no	NA
ACSBG1	HGNC:29567	MGI:2385656	-	-	no	no	no	no	NA
ACSBG2	HGNC:24174	MGI:3587728	-	-	yes	no	no	no	NA
ACSF2	HGNC:26101	MGI:2388287	-	-	yes	no	no	no	NA
ACSF3	HGNC:27288	MGI:2182591	OMIM:614265|ORPHA:289504	Combined Malonic And Methylmalonic Aciduria|Combined Malonic And Methylmalonic Acidemia	yes	yes	yes	yes	21.24
ACSL1	HGNC:3569	MGI:102797	-	-	no	no	no	no	NA
ACSL3	HGNC:3570	MGI:1921455	-	-	no	no	no	no	NA
ACSL4	HGNC:3571	MGI:1354713	OMIM:300387|ORPHA:777|ORPHA:86818	Intellectual Developmental Disorder, X-Linked 63|X-Linked Non-Syndromic Intellectual Disability|Alport Syndrome-Intellectual Disability-Midface Hypoplasia-Elliptocytosis Syndrome	yes	yes	yes	yes	30.035
ACSL5	HGNC:16526	MGI:1919129	OMIM:620357	Diarrhea 13	yes	yes	yes	yes	55.8
ACSL6	HGNC:16496	MGI:894291	-	-	no	no	no	no	NA
ACSM1	HGNC:18049	MGI:2152200	-	-	yes	no	no	no	NA
ACSM3	HGNC:10522	MGI:99538	-	-	no	no	no	no	NA
ACSM4	HGNC:32016	MGI:2681844	-	-	no	no	no	no	NA
ACSM5	HGNC:26060	MGI:2444086	-	-	yes	no	no	no	NA
ACSS1	HGNC:16091	MGI:1915988	-	-	no	no	no	no	NA
ACSS2	HGNC:15814	MGI:1890410	-	-	no	no	no	no	NA
ACSS3	HGNC:24723	MGI:2685720	-	-	no	no	no	no	NA
ACTA1	HGNC:129	MGI:87902	OMIM:616852|OMIM:161800|OMIM:620265|OMIM:620278|ORPHA:171430|ORPHA:171433|ORPHA:171436|ORPHA:171439|ORPHA:2020|ORPHA:447977|ORPHA:97244|ORPHA:97240|ORPHA:98904	Myopathy, Scapulohumeroperoneal|Congenital Myopathy 2A, Typical, Autosomal Dominant|Congenital Myopathy 2B, Severe Infantile, Autosomal Recessive|Congenital Myopathy 2C, Severe Infantile, Autosomal Dominant|Severe Congenital Nemaline Myopathy|Intermediate Nemaline Myopathy|Typical Nemaline Myopathy|Childhood-Onset Nemaline Myopathy|Congenital Fiber-Type Disproportion Myopathy|Progressive Scapulohumeroperoneal Distal Myopathy|Rigid Spine Syndrome|Zebra Body Myopathy|Congenital Myopathy With Excess Of Thin Filaments	no	no	no	no	NA
ACTA2	HGNC:130	MGI:87909	OMIM:611788|OMIM:614042|OMIM:613834|ORPHA:2573|ORPHA:404463|ORPHA:91387	Aortic Aneurysm, Familial Thoracic 6|Moyamoya Disease 5|Multisystemic Smooth Muscle Dysfunction Syndrome|Moyamoya Disease|Familial Thoracic Aortic Aneurysm And Aortic Dissection	yes	yes	yes	yes	29.3
ACTB	HGNC:132	MGI:87904	OMIM:243310|OMIM:604919|OMIM:607371|OMIM:620475|ORPHA:2995|ORPHA:64755|ORPHA:79107	Baraitser-Winter Syndrome 1|Becker Nevus Syndrome|Dystonia-Deafness Syndrome 1|Thrombocytopenia 8, With Dysmorphic Features And Developmental Delay|Baraitser-Winter Cerebrofrontofacial Syndrome|Developmental Malformations-Deafness-Dystonia Syndrome	no	no	no	no	NA
ACTBL2	HGNC:17780	MGI:2444552	-	-	no	no	no	no	NA
ACTC1	HGNC:143	MGI:87905	OMIM:612794|OMIM:613424|OMIM:612098|ORPHA:154|ORPHA:155|ORPHA:54260|ORPHA:99103	Atrial Septal Defect 5|Cardiomyopathy, Dilated, 1R|Cardiomyopathy, Familial Hypertrophic, 11|Familial Isolated Dilated Cardiomyopathy|Non Rare In Europe: Familial Isolated Hypertrophic Cardiomyopathy|Left Ventricular Noncompaction|Atrial Septal Defect, Ostium Secundum Type	yes	yes	yes	no	NA
ACTG1	HGNC:144	MGI:87906	OMIM:614583|OMIM:604717|ORPHA:2995|ORPHA:90635|ORPHA:98942|ORPHA:98944	Baraitser-Winter Syndrome 2|Deafness, Autosomal Dominant 20|Baraitser-Winter Cerebrofrontofacial Syndrome|Rare Autosomal Dominant Non-Syndromic Sensorineural Deafness Type Dfna|Coloboma Of Choroid And Retina|Coloboma Of Iris	yes	yes	yes	yes	53.08
ACTG2	HGNC:145	MGI:104589	OMIM:619431|OMIM:155310|ORPHA:2604|ORPHA:2241|ORPHA:104077	Megacystis-Microcolon-Intestinal Hypoperistalsis Syndrome 5|Visceral Myopathy 1|Familial Visceral Myopathy|Megacystis-Microcolon-Intestinal Hypoperistalsis Syndrome|Myopathic Intestinal Pseudoobstruction	yes	yes	yes	no	NA
ACTL10	HGNC:16127	MGI:1917612	-	-	yes	no	no	no	NA
